"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLikJS","LogLikR","difference"
2000,5.01515280405005,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00516160280974,0.000414152028917,33.286343788618,1660,0.827243125372373,0.997385412993826,0.87481629929804,2.20627331210318E-05,0.4,4,1.02435964324031,17.1592674917784,0.333333333333333,23901.468203467,174.598143011332,6.89045443451769,332.972201815208,17.2327173550314,244.347735804029,2.09436351580607,12.6413258816794,356.437746047802,125683.619773719,11298.7427690394,0.000156577074847,0.998102354151789,-8594.902033,-8594.81150724138,-0.090525758620061
2000,4.20333842742067,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00435588710157,0.00042386970954,20.8309254911607,1660,0.832662219209274,0.903919032972802,0.912495684726473,3.16129026692882E-05,0.4,4,1.19099326233934,17.1315398720101,0.333333333333333,6368.10636240417,832.164607181494,1.31321812130004,360.712012056202,0.831652460211102,207.690249059899,11.2715561159382,7.74673151384916,991.586395985186,78007.5184310872,66896.4044701128,0.000270296940042,0.99875886010592,-8579.788937,-8579.77445863754,-0.014478362460068
2000,1.697346845028,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.024159112404171,0.001292478372427,72.1764376864264,1660,0.076165180479716,0.906700952788409,0.90213168121162,2.44046039814288E-05,0.4,4,0.288120129610436,17.021962103928,0.333333333333333,17016.5766995698,23750.5622415342,0.070451834155492,94.1387618119266,0.087141205934856,62.057899876115,523.935933905982,3.12730102629236,4149.2484331952,585.115959708459,124.953230191819,0.994856804543106,0.004713442156872,-8592.54273,-8592.48564930923,-0.057080690768999
2000,1.84147702373484,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.024683951590687,0.001322698268925,52.9643721359346,1660,0.075126996584291,0.914202963247593,0.899965729110362,3.32307395322705E-05,0.4,4,0.288400630664717,17.0800851231672,0.333333333333333,5876.43415714084,4496.91913188097,0.076559361380357,217.094308034872,0.029203793057425,85.0506155276893,373.923719097525,76.8562920775359,5.75177280535164,1481.9482557117,175.160600471458,0.876481182770482,0.122598785981444,-8591.695424,-8591.69066585066,-0.004758149339978
2000,1.96320343322906,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.317861596385871,0.001148377987865,38.2356664296986,1660,0.040951790950571,0.985089824392338,0.948668099136298,4.73373188171061E-05,0.4,4,0.551349542277711,13.1727920035315,0.333333333333333,237592.336735131,8615.01475164183,0.368772462304136,16.6872260990426,2.81289640277038,104.178163411221,291.888776238744,95.4698997848934,420.276909670408,2249.38790336287,3.92226009238228,0.958753779465112,0.035794750843501,-8603.229799,-8603.28503153344,0.055232533439266
2000,2.17042746624581,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.426336000408464,0.001155462276544,40.4753292428482,1660,0.042010074292219,0.981707159737336,0.956268873877562,4.44373115862307E-05,0.4,4,0.534990909103001,13.2090546032636,0.333333333333333,462757.690353819,10608.9204881126,0.112418359872934,57.5229164573461,3.28996890301515,48.3848150731948,192.930415303912,108.983707212382,1757.56260566574,1399.46771116444,289.790060717207,0.91655181829062,0.08003567635801,-8604.238308,-8604.22459240279,-0.013715597209739
2000,2.76491103341173,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006286030037387,0.000476584234879,66.024586224188,1660,0.450973000215497,0.999418509093691,0.968196113324947,1.15375215879091E-05,0.4,4,0.706586726635864,17.152363904307,0.333333333333333,61779.4592823663,73.9705670609846,0.183224305455277,900.880601161949,13.7472615872042,194.428311632093,7.98885174709568,1.8970556277587,82.9562071074896,20660.8166877749,36.7729591953789,0.000528073824169,0.997670939338799,-8584.334331,-8584.28138632513,-0.05294467486965
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",-21073.2587710815,"#VALUE!"
2000,2.5042442368817,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.012280353263582,0.000735755205863,50.6197610835164,1660,0.179896008646042,0.97615963772144,0.931287841653818,2.1771713300775E-05,0.4,4,0.922648295310099,17.1518373781201,0.333333333333333,130966.521036265,5342.89772302035,14.8065280435269,268.126209059491,43.7270821708818,176.246131194551,0.03721081764828,22.7288155188904,130.066425472625,6980.22378458107,1244.32875186715,0.000192313845778,0.998627658572953,-8583.18025,-8583.14130758458,-0.038942415420024
2000,3.30280125265939,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006393375386691,0.000498387031802,44.2483708577825,1660,0.459512466135897,0.992824289787939,0.922734474841358,1.83605499054828E-05,0.4,4,0.705415293778236,17.0500337278807,0.333333333333333,24099.2477679562,238.012032735135,2.95472213430991,653.654890700794,341.43180101573,95.6723072129905,17.1301847326037,1.94010188754032,38.1659450014953,177546.773816076,4106.2196255615,0.00023321241388,0.99331121530164,-8584.473715,-8584.40165141409,-0.072063585910655
