"t","accum","c","r"
7.0192,0,0,0
14.038,0,0,0
21.058,0,0,0
28.077,0,0,0
35.096,0,0,0
42.115,0,0,0
49.135,0,0,0
56.154,0,0,0
63.173,0,0,0
70.192,0,0,0
77.212,0,0,0
84.231,0,0,0
91.25,0,0,0
98.269,0,0,0
105.29,4144211,4144211,4144210.93150344
112.31,4244158,99946.9999999995,99948.1063186089
119.33,4350793,106635,106636.573570595
126.35,4479660,128867,128908.187217688
133.37,4654900,175240,175284.914541252
140.38,4907518,252618,252660.139782747
147.4,5268712,361194,361239.045903725
154.42,5777353,508641,509096.729100753
161.44,6532485,755132,755278.955641216
168.46,7663652,1131167,1131312.23544997
175.48,9321191,1657539,1657761.89042092
182.5,11695080,2373889,2374307.9904181
189.52,14933730,3238650,3239098.10439065
196.54,19142800,4209070,4209494.10281568
203.56,24528720,5385920,5386012.40953002
210.58,31337650,6808930,6808192.77500603
217.6,39674510,8336860,8329579.59960471
224.62,49041700,9367190,9367015.25021179
231.63,59435980,10394280,10393814.1498291
238.65,70938880,11502900,11501883.1738004
245.67,83613070,12674190,12667272.1160094
252.69,96978350,13365280,13364758.6581657
259.71,110795200,13816850,13816499.8592312
266.73,124990700,14195500,14194777.1188772
273.75,139456700,14466000,14467492.1296352
280.77,153274400,13817700,13817477.4451645
287.79,165252300,11977900,11977515.0197177
294.81,175094000,9841700,9841429.44651389
301.83,182513400,7419399.99999997,7419195.66217151
308.85,188099500,5586100.00000003,5588779.08284727
315.87,191784300,3684800,3685127.82717159
322.88,191784300,0,0
329.9,191784300,0,0
336.92,191784300,0,0
343.94,191784300,0,0
350.96,191784300,0,0
357.98,191784300,0,0
365,191784300,0,0
372.02,191784300,0,0
379.04,191784300,0,0
386.06,191784300,0,0
393.08,191784300,0,0
400.1,191784300,0,0
407.12,191784300,0,0
414.13,191784300,0,0
421.15,191784300,0,0
428.17,191784300,0,0
435.19,191784300,0,0
442.21,191784300,0,0
449.23,191784300,0,0
456.25,191784300,0,0
463.27,191784300,0,0
470.29,192999400,1215100,1215160.08632547
477.31,196122000,3122600,3122796.00109398
484.33,200070100,3948099.99999997,3948316.07661101
491.35,206322300,6252200,6251208.16277346
498.37,215300900,8978600.00000003,8978704.29994372
505.38,227446000,12145100,12145200.7406533
512.4,243197200,15751200,15751225.7985133
519.42,262943400,19746200,19739146.8702565
526.44,286354700,23411300,23410740.3786078
533.46,313454700,27100000,27098967.7779559
540.48,344658100,31203400,31201828.4413285
547.5,380569100,35911000,35909400.215213
554.52,421641100,41072000,41069390.4021479
561.54,468557700,46916600.0000001,46898933.112756
568.56,523008000,54450299.9999999,54438921.7247288
575.58,587416900,64408900,64375510.74848
582.6,665259100,77842200,77810857.8060179
589.62,762078800,96819700,96678278.033236
596.63,883981400,121902600,121852337.905073
603.65,1039138000,155156600,155074651.450725
610.67,1235284000,196146000,195725433.594813
617.69,1442873000,207589000,207511209.746814
624.71,1646521000,203648000,203571920.126863
631.73,1841871000,195350000,195268464.119205
638.75,2023652000,181781000,181687328.002503
645.77,2190338000,166686000,166609955.019288
652.79,2341602000,151264000,151193452.291632
659.81,2472431000,130829000,130766082.821792
666.83,2578068000,105637000,105588283.224998
673.85,2658633000,80565000,80603948.3009291
680.87,2731105000,72472000,72441760.127017
687.88,2744695000,13590000,13584442.3811836
694.9,2744695000,0,0
701.92,2744695000,0,0
708.94,2744695000,0,0
715.96,2744695000,0,0
722.98,2744695000,0,0
730,2744695000,0,0
737.02,2744695000,0,0
744.04,2744695000,0,0
751.06,2744695000,0,0
758.08,2744695000,0,0
765.1,2744695000,0,0
772.12,2744695000,0,0
779.13,2744695000,0,0
786.15,2744695000,0,0
793.17,2744695000,0,0
800.19,2744695000,0,0
807.21,2744695000,0,0
814.23,2744695000,0,0
821.25,2744695000,0,0
828.27,2744695000,0,0
835.29,2744695000,0,0
842.31,2784035000,39340000,39322543.6803484
849.33,2834344000,50308999.9999995,50287244.3968453
856.35,2920207000,85863000.0000005,85860243.9139657
863.37,3057970000,137763000,137699474.786241
870.38,3259319000,201349000,201255212.643429
877.4,3535288000,275969000,275838054.688247
884.42,3893978000,358689999.999999,358011823.191917
891.44,4293269000,399291000.000001,399069632.862847
898.46,4716653000,423384000,423176244.892701
905.48,5169627000,452974000,452723608.374406
912.5,5660065000,490438000,490171057.390463
919.52,6198304000,538239000,537954648.499512
926.54,6797781000,599477000,599140980.524635
933.56,7475950000,678169000,677785277.954123
940.58,8254099000,778149000,777687402.682169
947.6,9156086000,901987000,901388725.776541
