"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",28979043.9996291
"16",37.2083126716316
"17",37.4688639901578
"18",38.4001651704311
"19",51.6549550890923
"20",73.1915642134845
"21",96.7781807594001
"22",123.638293880969
"23",171.304031986743
"24",229.470097076148
"25",290.949463687837
"26",354.254510842264
"27",403.312596790493
"28",436.168889775872
"29",467.232228998095
"30",496.465715955943
"31",509.395366001874
"32",478.776880193502
"33",448.882800929248
"34",422.92643719539
"35",398.497912801802
"36",359.92589179799
"37",321.177961222827
"38",287.183411836624
"39",256.89655406028
"40",215.194903567433
"41",165.450417727232
"42",122.401448041201
"43",84.0446717478335
"44",61.8898680396378
"45",40.9768046289682
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",13.5285803712904
"68",34.6397685520351
"69",44.6167231984437
"70",67.7739352919161
"71",92.5818299204111
"72",119.209889981896
"73",146.9693977274
"74",174.434790316969
"75",194.611590258777
"76",211.224159721285
"77",226.164196301252
"78",239.253979541361
"79",247.212399341166
"80",250.393472019583
"81",252.404662773013
"82",253.437265235931
"83",254.715929389
"84",258.376094512641
"85",261.58045886457
"86",264.355880893767
"87",262.508784376085
"88",215.18906961754
"89",166.758870076388
"90",130.064022209495
"91",101.166461098939
"92",79.9085853621364
"93",63.8471587561071
"94",49.3160384222865
"95",35.8633140027523
"96",25.4575253427029
"97",22.9198998324573
"98",4.2988815754652
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",12.4410821311176
"121",16.5430439300835
"122",28.5115382447839
"123",44.1471077501774
"124",61.6836910098791
"125",80.3526537530124
"126",98.1375847235322
"127",101.060814112425
"128",99.0526979602873
"129",97.0436222441494
"130",95.0578810311854
"131",93.0280610956252
"132",90.9908999092877
"133",89.0701546519995
"134",87.2844441272318
"135",85.4787277989089
"136",83.3535239547491
