,"c","r",,"js","E0"
7.0192,60.38608,60.3898481272077,-0.003768127207699,60.3878414135027,60.3892857205996
14.038,50.25286,50.2523904397909,0.000469560209105,50.249075757784,50.2514794192925
21.058,41.81834,41.816651585222,0.001688414778009,41.8125496027657,41.8155497898312
28.077,34.79944,34.796969843072,0.002470156928005,34.7924668846614,34.795795555391
35.096,28.95797,28.9556826915894,0.002287308410601,28.9510150282773,28.9544773276428
42.115,24.09593,24.0949626758506,0.000967324149403,24.0903088000653,24.0937660408541
49.135,20.0503,20.0502042722349,9.57277650996957E-05,20.0456867406689,20.0490430361157
56.154,16.68459,16.6844316580102,0.000158341989799,16.6801330875763,16.6833248892396
63.173,13.88371,13.8836626238367,4.73761632999725E-05,13.8796362239258,13.8826241660781
70.192,11.55299,11.5530427248168,-5.27248167987437E-05,11.5493264170655,11.5520889880219
77.212,9.613611,9.61366013658502,-4.91365850194825E-05,9.61026200799872,9.61279066482048
84.231,179.1508,243.003398519314,-63.852598519314,242.983821492563,242.971443104265
91.25,1424.424,2068.89407787136,-644.47007787136,2068.94567590466,2068.93388718862
98.269,2669.985,4138.28380178644,-1468.29880178644,4138.61052284399,4138.39376994758
105.29,3239.576,110600.39161915,-107360.81561915,110571.273281278,110600.036943616
112.31,2743.068,238159.524185605,-235416.456185605,238155.122796552,238163.641564064
119.33,2283.675,348009.793141539,-345726.118141539,348021.988472215,348016.314068847
126.35,1900.39,442809.877425955,-440909.487425955,442765.63133153,442752.002728817
133.37,1581.381,527872.696295787,-526291.315295787,527852.061611393,527833.999985376
140.38,1315.361,600228.491035744,-598913.130035744,600224.290108958,600204.379595511
147.4,1086.977,653857.27492144,-652770.29792144,653861.758982002,653843.147564458
154.42,890.2432,688128.94382593,-687238.70062593,688024.074400796,688012.651611166
161.44,718.2985,713296.12029028,-712577.82179028,713217.83294789,713219.170385225
168.46,570.0254,732034.520891503,-731464.495491503,731966.326077281,731983.85702921
175.48,445.0354,751648.704733301,-751203.669333301,751572.823643869,751609.861202663
