"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",4144210.93150344
"16",99948.1063186089
"17",106636.573570595
"18",128908.187217688
"19",175284.914541252
"20",252660.139782747
"21",361239.045903725
"22",509096.729100753
"23",755278.955641216
"24",1131312.23544997
"25",1657761.89042092
"26",2374307.9904181
"27",3239098.10439065
"28",4209494.10281568
"29",5386012.40953002
"30",6808192.77500603
"31",8329579.59960471
"32",9367015.25021179
"33",10393814.1498291
"34",11501883.1738004
"35",12667272.1160094
"36",13364758.6581657
"37",13816499.8592312
"38",14194777.1188772
"39",14467492.1296352
"40",13817477.4451645
"41",11977515.0197177
"42",9841429.44651389
"43",7419195.66217151
"44",5588779.08284727
"45",3685127.82717159
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",1215160.08632547
"68",3122796.00109398
"69",3948316.07661101
"70",6251208.16277346
"71",8978704.29994372
"72",12145200.7406533
"73",15751225.7985133
"74",19739146.8702565
"75",23410740.3786078
"76",27098967.7779559
"77",31201828.4413285
"78",35909400.215213
"79",41069390.4021479
"80",46898933.112756
"81",54438921.7247288
"82",64375510.74848
"83",77810857.8060179
"84",96678278.033236
"85",121852337.905073
"86",155074651.450725
"87",195725433.594813
"88",207511209.746814
"89",203571920.126863
"90",195268464.119205
"91",181687328.002503
"92",166609955.019288
"93",151193452.291632
"94",130766082.821792
"95",105588283.224998
"96",80603948.3009291
"97",72441760.127017
"98",13584442.3811836
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",39322543.6803484
"121",50287244.3968453
"122",85860243.9139657
"123",137699474.786241
"124",201255212.643429
"125",275838054.688247
"126",358011823.191917
"127",399069632.862847
"128",423176244.892701
"129",452723608.374406
"130",490171057.390463
"131",537954648.499512
"132",599140980.524635
"133",677785277.954123
"134",777687402.682169
"135",901388725.776541
