,"x",72.57231,
"1",60.3898481272077,60.38854,0.0013081272077
"2",50.2523904397909,50.24973,0.002660439790901
"3",41.816651585222,41.81245,0.004201585221999
"4",34.796969843072,34.79492,0.002049843072001
"5",28.9556826915894,28.95511,0.000572691589401
"6",24.0949626758506,24.09435,0.000612675850597
"7",20.0502042722349,20.04978,0.000424272234902
"8",16.6844316580102,16.68434,9.16580102021669E-05
"9",13.8836626238367,13.88372,-5.73761632995939E-05
"10",11.5530427248168,11.55327,-0.0002272751832
"11",9.61366013658502,9.614006,-0.00034586341498
"12",243.003398519314,243.0016,0.001798519313979
"13",2068.89407787136,2068.894,7.78713601903291E-05
"14",4138.28380178644,4138.284,-0.000198213559997
"15",110600.39161915,110600.4,-0.008380849991227
"16",238159.524185605,238159.5,0.024185604997911
"17",348009.793141539,348009.8,-0.006858461012598
"18",442809.877425955,442742.1,67.7774259550497
"19",527872.696295787,527825.3,47.3962957869517
"20",600228.491035744,600198.9,29.5910357439425
"21",653857.27492144,653844.4,12.8749214400305
"22",688128.94382593,688019.8,109.143825929961
"23",713296.12029028,713233.8,62.3202902800404
"24",732034.520891503,732033.6,0.920891502988525
"25",751648.704733301,751655.2,-6.49526669899933
"26",787123.503967662,787084.7,38.8039676620392
"27",852787.30469107,852728,59.3046910701087
"28",960011.518995406,959907.5,104.018995406106
"29",1119344.98556596,1119168,176.985565959942
"30",1337262.78722532,1337002,260.787225320004
"31",1610248.15506129,1610230,18.1550612899009
"32",1914357.11722104,1914378,-20.8827789600473
"33",2242482.08915448,2242500,-17.9108455199748
"34",2595202.69927294,2595235,-32.300727059599
"35",2973794.66588978,2974037,-242.334110219963
"36",3357835.92133281,3358065,-229.078667189926
"37",3735486.45655676,3735805,-318.543443240225
"38",4103774.00521784,4104105,-330.994782159571
"39",4459100.16356569,4459273,-172.836434310302
"40",4738149.39410345,4738304,-154.605896550231
"41",4862265.73432633,4862455,-189.265673669986
"42",4815133.65545324,4815276,-142.344546760432
"43",4580121.91687849,4580231,-109.083121509291
"44",4162371.33774326,4161773,598.337743259966
"45",3708393.5646328,3707950,443.564632799942
"46",3262611.94094046,3262282,329.94094046019
"47",2847918.84330362,2847674,244.843303619884
"48",2478352.60620255,2477474,878.606202550233
"49",2062317.99713053,2061515,802.997130529955
"50",1716123.24719146,1715430,693.247191460105
"51",1428042.3689638,1427570,472.368963799905
"52",1188319.48784174,1187906,413.487841740018
"53",988839.051017658,988569.5,269.55101765797
"54",822844.923763404,822641.8,203.123763403972
"55",684716.86861269,684564.3,152.568612689967
"56",569775.270709836,569665.8,109.470709835994
"57",474128.606828764,474043.8,84.8068287640344
"58",394537.896129515,394458.7,79.1961295150104
"59",328307.872463006,328268.2,39.6724630059907
"60",273195.77259229,273169.7,26.0725922900019
"61",227335.097768176,227320.1,14.9977681760211
"62",189172.936837609,189160.4,12.5368376090191
"63",159114.402906401,159099.6,14.8029064009897
"64",229445.136917984,229479.7,-34.563082016015
"65",288657.664963417,288748.1,-90.4350365830469
"66",352214.47377485,352388.9,-174.426225150004
"67",439198.006949959,439416.6,-218.593050041061
"68",553100.857408135,553366,-265.142591865035
"69",695839.39225246,696160.5,-321.107747539994
"70",935530.186972002,935976.2,-446.01302799792
"71",1390187.14609494,1390716,-528.853905060096
"72",2185917.17186235,2186470,-552.828137650155
"73",3408859.58716294,3409413,-553.412837060168
"74",5067427.98873345,5068620,-1192.01126655005
"75",7027688.35054325,7028887,-1198.64945674967
"76",9144058.6021696,9145243,-1184.39783040062
"77",11296289.8426988,11297420,-1130.15730120055
"78",13390358.192445,13391250,-891.807555001229
"79",15340969.4428531,15341690,-720.55714689754
"80",17116908.7995208,17118170,-1261.20047919825
"81",18765989.6588884,18767790,-1800.3411116004
"82",20378413.1916215,20381320,-2906.808378499
"83",22088564.5057212,22092220,-3655.49427879974
"84",24080179.5226827,24087910,-7730.47731729969
"85",26548525.9884499,26556970,-8444.01155009866
"86",29714717.5713421,29724190,-9472.42865790054
"87",33810254.8879884,33823520,-13265.1120115966
"88",38526490.1904594,38543750,-17259.8095405996
"89",43141583.9086455,43161240,-19656.0913544968
"90",47286518.0193169,47305490,-18971.9806831032
"91",50607678.8476706,50628730,-21051.1523294002
"92",52955792.4518728,52976880,-21087.5481271967
"93",54234746.2816929,54256010,-21263.7183071002
"94",54115784.1430715,54136970,-21185.8569284976
"95",52295921.4909385,52315160,-19238.5090615004
"96",48415124.0572095,48425520,-10395.9427904934
"97",43643578.3136246,43652270,-8691.68637540192
"98",38659487.5159445,38666750,-7262.48405549675
"99",33857566.2606092,33863630,-6063.73939079791
"100",29491095.4069851,29496300,-5204.59301489964
"101",24949653.7590021,24954820,-5166.24099789932
"102",20761430.2166177,20764830,-3399.78338230029
"103",17276250.488158,17280620,-4369.51184200123
"104",14376125.7131267,14380080,-3954.28687329963
"105",11962835.4838759,11966010,-3174.51612409949
"106",9954658.37594141,9957618,-2959.62405858934
"107",8283596.03672773,8286163,-2566.96327226981
"108",6893050.71996389,6895295,-2244.28003611043
"109",5735935.15720087,5737860,-1924.84279912896
"110",4773054.02337394,4773420,-365.976626059972
"111",3971812.6523923,3973170,-1357.34760770015
"112",3305071.85039705,3306234,-1162.14960295008
"113",2750264.11903162,2751298,-1033.88096838025
"114",2288583.6805636,2289417,-833.319436400197
"115",1904404.56867561,1905115,-710.431324389996
"116",1584714.63560731,1585295,-580.364392689895
"117",1383770.41400124,1384549,-778.585998760071
"118",2330930.37076965,2331612,-681.62923034979
"119",3476097.55350868,3477092,-994.446491320152
"120",5040107.97540933,5040927,-819.024590670131
"121",7072695.30769451,7073385,-689.692305490375
"122",10537665.3172377,10536880,785.317237699404
"123",17996967.4727324,17997200,-232.527267601341
"124",32375549.1001376,32380640,-5090.89986240119
"125",55362028.4873025,55377470,-15441.5126974955
"126",86024956.5673019,86095700,-70743.4326981008
"127",117828940.377845,117910700,-81759.6221549809
"128",146971882.154585,147071800,-99917.8454149961
