,"R","JS","tafavot"
"1",7125.02,7125.02,0
"2",5928.961,5928.961,0
"3",4933.682,4933.682,0
"4",4105.478,4105.478,0
"5",3416.303,3416.303,0
"6",2842.819,2842.819,0
"7",2365.601,2365.601,0
"8",1968.493,1968.493,0
"9",1638.046,1638.046,0
"10",1363.071,1363.071,0
"11",1134.255,1134.255,0
"12",943.852,943.8518,0.00019999999995
"13",785.41,785.4098,0.000200000000063
"14",653.565,653.5651,-9.99999998612111E-05
"15",543.853,543.8528,0.00019999999995
"16",452.558,452.5576,0.000400000000013
"17",376.588,376.588,0
"18",313.37,313.3709,-0.000900000000001
"19",260.766,260.7663,-0.000299999999982
"20",216.9,216.9002,-0.000199999999978
"21",179.24,179.2404,-0.000399999999985
"22",146.791,146.8002,-0.009199999999993
"23",118.439,118.4469,-0.007900000000006
"24",93.991,93.99705,-0.006050000000002
"25",73.381,73.38566,-0.004660000000001
"26",56.377,56.38036,-0.003359999999994
"27",42.762,42.76444,-0.002439999999993
"28",32.123,32.12543,-0.002430000000004
"29",23.902,23.90392,-0.001919999999998
"30",17.618,17.6192,-0.001200000000001
"31",12.901,12.90089,0.000109999999999
"32",9.467,9.467126,-0.000126
"33",6.974,6.97406,-5.99999999995049E-05
"34",10.285,10.28684,-0.00184
"35",151.481,151.3419,0.139100000000013
"36",817.113,817.2509,-0.137899999999945
"37",1870.52,1870.743,-0.222999999999956
"38",2775.493,2775.622,-0.128999999999905
"39",3302.328,3302.32,0.008000000000266
"40",3482.335,3482.228,0.106999999999971
"41",3426.05,3425.888,0.162000000000262
"42",3239.33,3239.145,0.184999999999945
"43",2973.308,2973.123,0.184999999999945
"44",2644.22,2643.728,0.491999999999734
"45",2320.491,2320.095,0.396000000000186
"46",2018.491,2018.171,0.319999999999936
"47",1745.902,1745.641,0.260999999999967
"48",1507.041,1506.851,0.190000000000055
"49",1254.058,1253.901,0.157000000000153
"50",1043.544,1043.412,0.132000000000062
"51",868.366,868.2565,0.109499999999912
"52",722.595,722.5043,0.09069999999997
"53",601.294,601.2187,0.07529999999997
"54",500.357,500.2937,0.063300000000027
"55",416.363,416.3107,0.052300000000003
"56",346.469,346.4258,0.043200000000013
"57",288.308,288.2722,0.035799999999995
"58",239.911,239.8805,0.030500000000018
"59",199.637,199.6123,0.024700000000024
"60",166.125,166.1038,0.021199999999993
"61",138.238,138.2207,0.017300000000006
"62",115.032,115.0179,0.014099999999985
"63",96.572,96.55993,0.012069999999994
"64",128.93,128.9243,0.005700000000019
"65",156.197,156.1954,0.001599999999996
"66",185.927,185.931,-0.003999999999991
"67",227.374,227.3832,-0.009200000000021
"68",282.013,282.0287,-0.015700000000038
"69",348.177,348.1995,-0.02249999999998
"70",431.849,431.8954,-0.046400000000006
"71",541.774,541.8246,-0.050600000000031
"72",688.66,688.7101,-0.05009999999993
"73",875.57,875.6144,-0.044399999999882
"74",1094.198,1094.324,-0.125999999999976
"75",1320.304,1320.41,-0.105999999999767
"76",1534.41,1534.489,-0.078999999999951
"77",1722.869,1722.918,-0.048999999999978
"78",1876.246,1876.267,-0.020999999999731
