,"x",,
"1",127096.922,127096.9,0.022000000011758
"2",125889.408,125889.4,0.00800000000163
"3",124693.366,124693.4,-0.033999999999651
"4",123508.688,123508.7,-0.012000000002445
"5",122335.265,122335.3,-0.035000000003493
"6",121172.99,121173,-0.009999999994761
"7",120021.757,120021.8,-0.043000000005122
"8",118881.463,118881.5,-0.036999999996624
"9",117752.001,117752,0.001000000003842
"10",116633.271,116633.3,-0.029000000009546
"11",115525.169,115525.2,-0.031000000002678
"12",114427.596,114427.6,-0.004000000000815
"13",113340.45,113340.4,0.05000000000291
"14",112263.632,112263.6,0.031999999991967
"15",0,3.105324E-08,-3.105324E-08
"16",0,-2.208836E-14,2.208836E-14
"17",0,9.265252E-17,-9.265252E-17
"18",0,0.0001445231,-0.0001445231
"19",0.001,0.001046504,-4.65039999999999E-05
"20",0.002,0.001957,4.30000000000001E-05
"21",0.003,0.00285474,0.00014526
"22",0.004,0.004008534,-8.53400000000015E-06
"23",0.006,0.005650046,0.000349954
"24",0.007,0.007104104,-0.000104104
"25",0.008,0.008328371,-0.000328371
"26",0.009,0.009298522,-0.000298522
"27",0.01,0.009538855,0.000461145
"28",0.01,0.009665671,0.000334329
"29",0.01,0.009699207,0.000300793
"30",0.01,0.009654167,0.000345833
"31",0.009,0.009054198,-5.41980000000001E-05
"32",0.008,0.008319157,-0.000319157
"33",0.008,0.007709847,0.000290153
"34",0.007,0.007199865,-0.000199865
"35",0.007,0.006660098,0.000339902
"36",0.006,0.005993506,6.49400000000012E-06
"37",0.005,0.005414242,-0.000414242
"38",0.005,0.004896478,0.000103522
"39",0.004,0.004419511,-0.000419511
"40",0.003,0.003404031,-0.000404031
"41",0.002,0.002374672,-0.000374672
"42",0.001,0.001274753,-0.000274753
"43",0,3.832762E-05,-3.832762E-05
"44",0,2.556097E-13,-2.556097E-13
"45",0,6.015668E-19,-6.015668E-19
"46",0,5.958514E-19,-5.958514E-19
"47",0,5.901904E-19,-5.901904E-19
"48",0,5.845832E-19,-5.845832E-19
"49",0,5.790292E-19,-5.790292E-19
"50",0,5.73528E-19,-5.73528E-19
"51",0,5.680791E-19,-5.680791E-19
"52",0,5.626819E-19,-5.626819E-19
"53",0,5.57336E-19,-5.57336E-19
"54",0,5.520409E-19,-5.520409E-19
"55",0,5.467961E-19,-5.467961E-19
"56",0,5.416011E-19,-5.416011E-19
"57",0,5.364555E-19,-5.364555E-19
"58",0,5.313588E-19,-5.313588E-19
"59",0,5.263105E-19,-5.263105E-19
"60",0,5.213102E-19,-5.213102E-19
"61",0,5.163573E-19,-5.163573E-19
"62",0,5.114516E-19,-5.114516E-19
"63",0,5.065924E-19,-5.065924E-19
"64",0,5.017794E-19,-5.017794E-19
"65",0,4.970121E-19,-4.970121E-19
"66",0,4.922902E-19,-4.922902E-19
"67",0,2.073488E-07,-2.073488E-07
"68",0,2.629693E-09,-2.629693E-09
"69",0.001,0.0008882463,0.0001117537
"70",0.002,0.001821269,0.000178731
"71",0.003,0.002705071,0.000294929
"72",0.004,0.003526136,0.000473864
"73",0.004,0.004255055,-0.000255055
"74",0.005,0.004800521,0.000199479
"75",0.005,0.005103436,-0.000103436
"76",0.005,0.005318567,-0.000318567
