,"R","js",
"1",174.419,174.419,0
"2",170.306,170.3057,0.000300000000038
"3",166.289,166.2894,-0.000400000000013
"4",162.368,162.3679,9.99999999748979E-05
"5",158.539,158.5388,0.000199999999978
"6",154.8,154.8,0
"7",151.149,151.1493,-0.00030000000001
"8",147.585,147.5848,0.000200000000007
"9",144.104,144.1043,-0.000299999999982
"10",140.706,140.7059,9.99999999748979E-05
"11",137.388,137.3877,0.00030000000001
"12",134.148,134.1477,0.000299999999982
"13",130.984,130.9841,-0.000100000000003
"14",127.895,127.8951,-0.000100000000003
"15",124.544,124.5436,0.000399999999999
"16",121.718,121.7184,-0.000399999999999
"17",119.872,119.8726,-0.000599999999991
"18",119.079,119.0754,0.003599999999992
"19",119.635,119.6313,0.003700000000009
"20",121.486,121.4827,0.003299999999996
"21",124.524,124.5208,0.003200000000021
"22",128.709,128.6952,0.013800000000003
"23",134.864,134.851,0.013000000000005
"24",142.99,142.9788,0.011200000000002
"25",152.666,152.6558,0.010199999999998
"26",163.402,163.3932,0.008799999999979
"27",174.236,174.228,0.007999999999981
"28",184.392,184.385,0.007000000000005
"29",193.661,193.6558,0.005200000000002
"30",201.878,201.8731,0.004899999999992
"31",208.649,208.6542,-0.005200000000002
"32",213.316,213.3204,-0.004400000000004
"33",216.21,216.2135,-0.003500000000003
"34",217.668,217.6715,-0.003500000000003
"35",217.945,217.9503,-0.005300000000005
"36",217.075,217.0796,-0.004600000000039
"37",215.288,215.2924,-0.004400000000004
"38",212.844,212.8474,-0.003400000000028
"39",209.86,209.8633,-0.003299999999996
"40",206.3,206.3028,-0.002800000000008
"41",202.189,202.1919,-0.002900000000011
"42",197.676,197.6786,-0.002600000000001
"43",192.863,192.8654,-0.002399999999994
"44",187.86,187.8617,-0.001699999999971
"45",183.031,183.0328,-0.001800000000003
"46",178.715,178.7163,-0.001300000000015
"47",174.5,174.5017,-0.001699999999971
"48",170.385,170.3865,-0.001499999999993
"49",166.367,166.3683,-0.001300000000015
"50",162.444,162.4448,-0.000800000000027
"51",158.613,158.6139,-0.000900000000001
"52",154.872,154.8733,-0.001299999999986
"53",151.22,151.221,-0.001000000000005
"54",147.654,147.6548,-0.000799999999998
