"emscripten(JS)","c","Diff in y(1)"
7611.77279265573,7611.773,-0.000207344270166
6334.00764554393,6334.008,-0.000354456073183
5270.73432646641,5270.734,0.000326466411025
4385.94992203631,4385.95,-7.79636948209372E-05
3649.69194885362,3649.692,-5.11463767907117E-05
3037.01389297724,3037.014,-0.000107022761313
2527.1409175315,2527.141,-8.24684984763735E-05
2102.72494902354,2102.725,-5.0976461807295E-05
1749.93418643181,1749.934,0.000186431811244
1456.20879267757,1456.209,-0.000207322432743
1211.7489387846,1211.749,-6.12153990005027E-05
1008.34951196406,1008.35,-0.000488035944045
839.093721418879,839.0937,2.14188793279391E-05
698.242583614287,698.2426,-1.63857133657075E-05
581.030430508286,581.0304,3.05082862723793E-05
483.494314365506,483.4943,1.43655061606296E-05
402.331398528282,402.3314,-1.47171766684551E-06
334.793069037481,334.7931,-3.09625187924212E-05
278.625507429733,278.6255,7.42973298883953E-06
231.84734272667,231.8473,4.27266697329287E-05
192.83797825739,192.838,-2.17426103858998E-05
159.362573529288,159.3626,-2.64707117594298E-05
130.519931227736,130.5199,3.12277364287183E-05
105.311088953041,105.3111,-1.10469594858387E-05
83.5715934151814,83.57159,3.415181396349E-06
65.2470252313499,65.24703,-4.76865010057281E-06
50.1302704157508,50.13027,4.15750797344572E-07
38.0234620974494,38.02346,2.09744938928225E-06
28.564131916993,28.56413,1.91699303897508E-06
21.2540314992842,21.25403,1.49928417059186E-06
15.6659817955455,15.66598,1.79554550605587E-06
11.4707495813379,11.47075,-4.18662139622938E-07
8.41765578747217,8.417656,-2.12527828225006E-07
6.19514982750824,6.19515,-1.72491763095195E-07
4.59639834308773,4.596398,3.43087729781644E-07
12.7432995410221,12.7433,-4.58977924111537E-07
206.146382598638,206.1464,-1.74013617879609E-05
920.881267040885,920.8813,-3.29591151739805E-05
1931.8389556144,1931.839,-4.4385597902874E-05
2764.518134441,2764.518,0.000134441002956
3224.83993320471,3224.84,-6.67952904223057E-05
3352.10047832318,3352.1,0.000478323177958
3267.17930671542,3267.179,0.000306715419356
3051.46972766448,3051.47,-0.000272335520549
2743.0583877338,2743.058,0.000387733797652
2427.5446183434,2427.545,-0.000381656604532
2125.91798064798,2125.918,-1.93520227185218E-05
1849.3075157133,1849.308,-0.000484286698565
1604.64180555405,1604.642,-0.000194445954776
1335.35380581837,1335.354,-0.000194181634015
1111.19204728414,1111.192,4.72841431928828E-05
924.666966514681,924.667,-3.34853191361617E-05
769.443913059382,769.4439,1.30593823541858E-05
640.264520577575,640.2645,2.05775750146131E-05
532.819095016821,532.8191,-4.98317945130111E-06
443.387453846857,443.3875,-4.61531425912654E-05
368.968462782396,368.9685,-3.72176044152184E-05
307.032882099307,307.0329,-1.79006927396586E-05
255.48274327397,255.4827,4.32739701921037E-05
212.595466031609,212.5955,-3.39683914489797E-05
176.906878667675,176.9069,-2.13323248487995E-05
147.207788362107,147.2078,-1.16378928112226E-05
122.50629303279,122.5063,-6.9672101830065E-06
102.986973773134,102.987,-2.62268661259668E-05
144.610132783853,144.6101,3.27838534133207E-05
179.663625286428,179.6636,2.5286428126492E-05
217.324616548868,217.3246,1.65488679044756E-05
268.807820994245,268.8078,2.09942446645073E-05
335.882997885749,335.883,-2.11425083307404E-06
415.736358592721,415.7364,-4.14072786725228E-05
510.142786337867,510.1428,-1.36621328010733E-05
622.228990466622,622.229,-9.53337803366594E-06
759.258159083684,759.2582,-4.09163158110459E-05
923.613762993509,923.6138,-3.70064914250179E-05
1109.38879484016,1109.389,-0.000205159835332
1297.04879033807,1297.049,-0.000209661928011
1472.36513926054,1472.365,0.000139260539754
1624.84921137679,1624.849,0.000211376788229
1747.37764543812,1747.378,-0.000354561881977
1834.31979301146,1834.32,-0.000206988536092
1884.74146558008,1884.741,0.000465580083983
1902.5080367356,1902.508,3.67355999060237E-05
1892.83208762381,1892.832,8.76238107139216E-05
1861.80072105909,1861.801,-0.000278940914313
1815.84268139189,1815.843,-0.000318608110547
1760.33426661328,1760.334,0.000266613280019
1700.73008194705,1700.73,8.19470467376959E-05
1642.76772994987,1642.768,-0.000270050132713
1590.34673813917,1590.347,-0.000261860832325
1534.71723515739,1534.717,0.000235157391216
1474.70542698637,1474.705,0.000426986368893
1409.93576766414,1409.936,-0.000232335858072
1341.39941421496,1341.399,0.000414214963484
1269.25351590971,1269.254,-0.000484090295004
1189.92150032464,1189.922,-0.000499675360516
1098.611173916,1098.611,0.000173916003632
986.648305653844,986.6483,5.65384357287257E-06
870.898353615577,870.8984,-4.63844229443566E-05
759.63442759462,759.6344,2.75946199508326E-05
657.349569858829,657.3496,-3.01411711234323E-05
566.725421899873,566.7254,2.18998733316766E-05
477.676443317598,477.6764,4.33175978855616E-05
397.488222541371,397.4882,2.25413705834399E-05
330.764937537316,330.7649,3.75373158476577E-05
275.237016691563,275.237,1.66915627346498E-05
229.036874111785,229.0369,-2.58882146226824E-05
190.590073432879,190.5901,-2.65671206705065E-05
158.597065034361,158.5971,-3.49656390028485E-05
131.974481515625,131.9745,-1.84843746353636E-05
109.820841143465,109.8208,4.11434647986653E-05
91.3860270367231,91.38603,-2.96327687010489E-06
76.0457642723705,76.04576,4.2723705462322E-06
63.2806149139195,63.28061,4.91391948287401E-06
52.6582817889803,52.65828,1.78898025637864E-06
43.8190314226558,43.81903,1.42265581359879E-06
36.463420118594,36.46342,1.18593987963322E-07
30.342252385216,30.34225,2.38521602469177E-06
26.2271740205599,26.22717,4.02055991344241E-06
39.4951630836237,39.49516,3.08362368883763E-06
55.8518242861646,55.85182,4.28616464631659E-06
78.5260500372855,78.52605,3.72855026853358E-08
108.350742072694,108.3507,4.2072693545947E-05
157.005210367997,157.0052,1.03679974756687E-05
250.413861127303,250.4139,-3.88726974165365E-05
412.213268938556,412.2133,-3.10614444174462E-05
646.256625913654,646.2566,2.59136544400462E-05
928.751663268317,928.7517,-3.67316830534037E-05
1194.94774145727,1194.948,-0.000258542729171
1417.26354330816,1417.264,-0.000456691841691
1592.19086665332,1592.191,-0.000133346676193
1723.02795046228,1723.028,-4.9537722588866E-05
1815.81539893947,1815.815,0.000398939473598
1877.60820012964,1877.608,0.000200129641144
1915.43134287564,1915.431,0.000342875638353
1935.63141132785,1935.631,0.000411327846905
1943.49973534429,1943.5,-0.000264655710453
1943.11431530148,1943.114,0.000315301476348
1938.59197099552,1938.592,-2.90044820303592E-05
1933.24237750653,1933.242,0.000377506527229
1928.72181176585,1928.722,-0.000188234146208
1916.22541821942,1916.225,0.000418219423409
1893.33418715674,1893.334,0.000187156739457
1862.18050390927,1862.181,-0.000496090732895
1823.72115087357,1823.721,0.000150873571101
1778.73467438423,1778.735,-0.000325615771089
1727.01530361568,1727.015,0.00030361567633
1666.53210017646,1666.532,0.000100176463775
1595.10221858917,1595.102,0.000218589167162
1502.0789276931,1502.079,-7.2306897436647E-05
1349.3345359321,1349.335,-0.00046406789852
1171.77895503845,1171.779,-4.4961551338929E-05
985.144462149841,985.1445,-3.78501584918922E-05
819.76911896766,819.7691,1.89676600257371E-05
682.13804466041,682.138,4.46604100261538E-05
567.589734617168,567.5897,3.46171681258056E-05
472.36318614669,472.3632,-1.3853309951628E-05
393.076438541099,393.0764,3.85410987746582E-05
327.086988428615,327.087,-1.15713845048049E-05
272.186391837918,272.1864,-8.1620816558825E-06
226.497451799787,226.4975,-4.82002131434456E-05
188.478071428179,188.4781,-2.85718210477626E-05
156.841440407464,156.8414,4.04074640414365E-05
130.503649016159,130.5036,4.90161588402316E-05
108.601144021477,108.6011,4.40214766683766E-05
90.3687733405491,90.36877,3.34054911377279E-06
75.2048188536553,75.20482,-1.14634474357445E-06
62.5791985271578,62.5792,-1.47284217888455E-06
64.6873668029749,64.68737,-3.1970250518043E-06
93.4792564506994,93.47926,-3.54930057255842E-06
137.074965260681,137.075,-3.47393187212219E-05
186.02262863336,186.0226,2.86333603014555E-05
226.630429093427,226.6304,2.90934265763099E-05
262.332120172522,262.3321,2.01725223405447E-05
300.326832935126,300.3268,3.29351262848831E-05
351.599534410684,351.5995,3.44106835541424E-05
440.763092889703,440.7631,-7.1102974175119E-06
587.845022430279,587.845,2.24302793867537E-05
800.969738894298,800.9697,3.88942979725471E-05
1070.98924344841,1070.989,0.000243448412903
1367.71766552054,1367.718,-0.000334479462481
1662.94226552066,1662.942,0.000265520662879
1934.1939872719,1934.194,-1.27281025470438E-05
2165.85383425322,2165.854,-0.000165746782386
2349.16595355502,2349.166,-4.64449808532663E-05
2481.20233684193,2481.202,0.000336841927492
2563.20403389412,2563.204,3.38941235895618E-05
2599.82653087139,2599.827,-0.000469128611257
2598.17032278197,2598.17,0.0003227819725
2566.88930566091,2566.889,0.000305660908907
2515.61167309847,2515.612,-0.000326901530116
2454.88288109674,2454.883,-0.000118903262774
2393.45363212693,2393.454,-0.000367873066807
2334.08145081889,2334.081,0.000450818893569
2277.42061635132,2277.421,-0.000383648677598
2225.12152017556,2225.122,-0.000479824438571
2177.69263358074,2177.693,-0.000366419264537
2121.55802806412,2121.558,2.80641220342659E-05
2037.90804403382,2037.908,4.40338214957592E-05
1921.40388952687,1921.404,-0.000110473129325
1761.06702797447,1761.067,2.79744729141385E-05
1560.85093268495,1560.851,-6.73150502734643E-05
1378.03472434552,1378.035,-0.000275654475217
1214.84582202367,1214.846,-0.000177976328359
1069.78210572375,1069.782,0.000105723745264
940.444605649547,940.4446,5.64954666515405E-06
817.977793518731,817.9778,-6.48126865598897E-06
702.609922124838,702.6099,2.21248378693417E-05
584.668422536795,584.6684,2.25367946313781E-05
486.52435780105,486.5244,-4.21989502683573E-05
404.847895851013,404.8479,-4.14898659073515E-06
336.87424327338,336.8742,4.3273380242681E-05
280.345223532848,280.3452,2.35328476492214E-05
233.290362355758,233.2904,-3.76442415870315E-05
194.134221519049,194.1342,2.15190492554029E-05
161.546595394669,161.5466,-4.60533104273964E-06
134.422790724366,134.4228,-9.2756341985023E-06
111.8534341286,111.8534,3.41285997080831E-05
111.016057028181,111.0161,-4.29718186438777E-05
116.715336191075,116.7153,3.61910745851901E-05
120.346660078265,120.3467,-3.99217350519621E-05
122.322618031373,122.3226,1.80313729458703E-05
123.001191025915,123.0012,-8.97408547473333E-06
124.557783629059,124.5578,-1.63709407416945E-05
132.799855093908,132.7999,-4.4906092199426E-05
150.373516172672,150.3735,1.61726717067268E-05
178.482921326324,178.4829,2.13263236048533E-05
236.41411941991,236.4141,1.94199098473291E-05
346.856406328178,346.8564,6.3281778466262E-06
528.0329224564,528.0329,2.24563995061544E-05
784.22637364502,784.2264,-2.63549798091844E-05
1101.74762924301,1101.748,-0.000370756985376
1441.83663516723,1441.837,-0.000364832765854
1774.80878409693,1774.809,-0.00021590306892
2081.76060935199,2081.761,-0.000390648011489
2350.38400109486,2350.384,1.09485972643597E-06
2583.17503768866,2583.175,3.76886614503746E-05
2778.89020885678,2778.89,0.000208856780318
2927.59065076299,2927.591,-0.000349237007867
3024.34211962967,3024.342,0.000119629671644
3070.5764847036,3070.576,0.000484703602979
3072.67187175165,3072.672,-0.000128248351302
3039.52343948659,3039.523,0.000439486594587
2983.31305498271,2983.313,5.49827091163024E-05
2914.40691678572,2914.407,-8.32142782201117E-05
2835.52190979894,2835.522,-9.0201058810635E-05
2748.58204035247,2748.582,4.03524686589662E-05
2654.74647161178,2654.746,0.000471611777812
2553.14678073537,2553.147,-0.000219264627049
2448.20286009472,2448.203,-0.000139905276228
2344.11875541091,2344.119,-0.000244589086378
2237.88513477735,2237.885,0.000134777350013
2126.33090133026,2126.331,-9.86697405096493E-05
1995.03140080933,1995.031,0.000400809332859
1800.22054505142,1800.221,-0.000454948585002
1575.89847153977,1575.898,0.000471539766295
1355.45118085577,1355.451,0.000180855767439
1127.91484255318,1127.915,-0.000157446818548
938.547700896021,938.5477,8.96020651453E-07
780.981132068474,780.9811,3.20684740700017E-05
649.936610708791,649.9366,1.07087904552827E-05
540.840324959328,540.8403,2.4959327902252E-05
450.041204738732,450.0412,4.73873177497808E-06
374.505409175636,374.5054,9.17563579605485E-06
311.640411074371,311.6404,1.10743706045469E-05
259.330863371005,259.3309,-3.6628995474075E-05
215.801068464011,215.8011,-3.15359890237232E-05
179.578761557169,179.5788,-3.84428309416762E-05
149.434295456715,149.4343,-4.54328457522024E-06
124.349674800967,124.3497,-2.51990325637053E-05
103.473924059765,103.4739,2.40597649820984E-05
86.1053647545837,86.10536,4.75458375603921E-06
71.6495770867024,71.64958,-2.91329759249948E-06
59.617054517755,59.61705,4.51775500920348E-06
49.6155109749352,49.61551,9.74935190356518E-07
41.287480303261,41.28748,3.03260989653609E-07
59.0518219405143,59.05182,1.94051433766163E-06
107.769210658224,107.7692,1.06582236725217E-05
183.72324058456,183.7232,4.05845595139454E-05
293.466402318875,293.4664,2.31887480595105E-06
448.979214121142,448.9792,1.41211415893849E-05
676.763187651773,676.7632,-1.23482270737441E-05
987.21414796446,987.2141,4.79644595543505E-05
1360.89021214475,1360.89,0.00021214474873
1739.96725774106,1739.967,0.000257741061432
2087.37170562915,2087.372,-0.00029437085368
2384.16820522161,2384.168,0.000205221610031
2621.45315747359,2621.453,0.000157473586569
2789.27299834321,2789.273,-1.65678557095816E-06
2890.24638054446,2890.246,0.000380544455766
2938.73149400677,2938.731,0.000494006769713
2948.69419430694,2948.694,0.00019430694465
2932.7296387238,2932.73,-0.000361276194781
2903.7155295815,2903.716,-0.000470418495752
2867.78901397302,2867.789,1.39730177579622E-05
2830.33692233153,2830.337,-7.76684655647841E-05
2793.72111766914,2793.721,0.000117669139854
2740.42406703583,2740.424,6.70358326715359E-05
2663.80636929593,2663.806,0.000369295933979
2564.00680750728,2564.007,-0.000192492722817
2440.44787185584,2440.448,-0.000128144156406
2309.88835629569,2309.888,0.000356295692654
2189.0402336009,2189.04,0.000233600902902
2076.24846323948,2076.248,0.000463239479814
1969.05470063889,1969.055,-0.00029936110559
1859.53668480175,1859.537,-0.000315198248245
1721.16289582988,1721.163,-0.000104170117766
1556.53516570851,1556.535,0.000165708512668
1382.4908472293,1382.491,-0.000152770702016
1211.60778073796,1211.608,-0.000219262037035
1039.59759960169,1039.598,-0.00040039831083
865.061541387515,865.0615,4.13875151252796E-05
719.827114429365,719.8271,1.44293652510896E-05
599.023938907622,599.0239,3.89076222973017E-05
498.470029364917,498.47,2.93649171680954E-05
414.788309146761,414.7883,9.14676047614194E-06
345.185438944123,345.1854,3.89441232755416E-05
287.244368128579,287.2444,-3.18714207878656E-05
239.020807915224,239.0208,7.91522433019054E-06
198.912204960859,198.9122,4.96085934287294E-06
165.525558043648,165.5256,-4.1956352276884E-05
137.742743282231,137.7427,4.32822309051062E-05
114.622224688751,114.6222,2.46887511963223E-05
95.3815069136957,95.38151,-3.08630428946799E-06
79.3835483509802,79.38355,-1.64901979360366E-06
100.623909541868,100.6239,9.54186799617673E-06
119.174347372438,119.1743,4.73724375780193E-05
136.178084211089,136.1781,-1.57889109289044E-05
152.470835313926,152.4708,3.53139264746005E-05
168.661422554031,168.6614,2.25540306928451E-05
184.917419944496,184.9174,1.99444961026529E-05
206.151009546669,206.151,9.54666896291201E-06
252.419779898063,252.4198,-2.01019365420052E-05
364.20919694084,364.2092,-3.05915955323144E-06
604.988642851141,604.9886,4.285114096092E-05
993.711567991891,993.7116,-3.20081093150293E-05
1437.52459397671,1437.525,-0.000406023291362
1864.05795266841,1864.058,-4.73315949420794E-05
2238.33338009442,2238.333,0.000380094416869
2544.05673100228,2544.057,-0.000268997724106
2770.677090314,2770.677,9.03139971342171E-05
2920.69768636259,2920.698,-0.00031363740527
3007.85399011274,3007.854,-9.88725651041023E-06
3046.28909968204,3046.289,9.96820353975636E-05
3048.66756526787,3048.668,-0.000434732134636
3025.91855202855,3025.919,-0.000447971448466
2987.21345327203,2987.213,0.000453272029063
2940.0725176748,2940.073,-0.0004823251993
2889.8692924074,2889.869,0.000292407396955
2830.81904931122,2830.819,4.93112224830838E-05
2761.91637051451,2761.916,0.000370514507267
2685.91528845252,2685.915,0.000288452519271
2604.07236680717,2604.072,0.000366807172213
2505.6018373545,2505.602,-0.000162645502314
2377.71872959413,2377.719,-0.000270405871561
2218.08044470825,2218.08,0.000444708247869
2003.97695413202,2003.977,-4.5867983772041E-05
1762.59072937294,1762.591,-0.000270627064538
1538.62617286332,1538.626,0.000172863323542
1336.91674893991,1336.917,-0.000251060087066
1158.57597437244,1158.576,-2.56275591254962E-05
1003.78499354794,1003.785,-6.45205534510751E-06
850.71920001841,850.7192,1.84101054401253E-08
707.954655863352,707.9547,-4.41366482846206E-05
589.134869557557,589.1349,-3.04424426076366E-05
490.256478767268,490.2565,-2.12327319673022E-05
407.960079410249,407.9601,-2.05897514433673E-05
339.463013981419,339.463,1.39814191584264E-05
282.478507848138,282.4785,7.84813835252862E-06
235.059654781712,235.0597,-4.52182883634578E-05
195.596549791619,195.5965,4.97916188635372E-05
162.775222530544,162.7752,2.25305440153534E-05
135.454084458944,135.4541,-1.55410558306812E-05
112.717634297145,112.7176,3.42971446229967E-05
128.271197967834,128.2712,-2.03216586669441E-06
140.512102130568,140.5121,2.13056836173564E-06
148.955273429064,148.9553,-2.65709357165633E-05
154.467915768339,154.4679,1.57683386703411E-05
157.775772808713,157.7758,-2.71912869322932E-05
161.220108112965,161.2201,8.11296487768232E-06
175.424364699595,175.4244,-3.5300405045291E-05
206.840166309812,206.8402,-3.36901879336438E-05
261.865595601727,261.8656,-4.39827323361897E-06
366.39182776389,366.3918,2.77638899319754E-05
529.286382281365,529.2864,-1.77186350356351E-05
753.651525257932,753.6515,2.52579322932434E-05
1031.02444066411,1031.024,0.000440664107145
1343.2364819737,1343.236,0.000481973695287
1669.90769725295,1669.908,-0.000302747050227
1987.06701459262,1987.067,1.45926196637447E-05
2272.64656567913,2272.647,-0.000434320867953
2511.75319858297,2511.753,0.000198582974917
2689.62483509844,2689.625,-0.000164901556673
2805.7188270048,2805.719,-0.000172995204139
2870.80118872895,2870.801,0.000188728949524
2896.65857054884,2896.659,-0.000429451156378
2893.93096820393,2893.931,-3.17960707434395E-05
2871.71434639435,2871.714,0.000346394346252
2838.06299288567,2838.063,-7.11433267497341E-06
2799.64355759227,2799.644,-0.000442407728769
2761.85458950477,2761.855,-0.000410495225424
2717.44569003135,2717.446,-0.000309968647343
2660.89295995163,2660.893,-4.00483677367447E-05
2591.87405612746,2591.874,5.61274569008674E-05
2509.13977793968,2509.14,-0.000222060316446
2418.74325613203,2418.743,0.000256132027516
2326.70582018901,2326.706,-0.000179810986083
2229.57850392399,2229.579,-0.000496076011132
2123.59711018071,2123.597,0.000110180707452
1994.1358756323,1994.136,-0.000124367700437
1798.50721112357,1798.507,0.000211123567851
1572.60110408745,1572.601,0.000104087445607
1347.21649749044,1347.216,0.000497490443649
1121.03435965998,1121.034,0.000359659981541
932.829316851143,932.8293,1.68511425044926E-05
776.280130847961,776.2801,3.08479612840529E-05
645.971186186509,645.9712,-1.38134913640897E-05
537.527829026474,537.5278,2.90264734985612E-05
447.322054339986,447.3221,-4.56600139386865E-05
372.239217650827,372.2392,1.76508274307707E-05
309.756934225101,309.7569,3.42251012739325E-05
