,"x"
"1",7.01923076921162
"2",14.0384615384232
"3",21.0576923077178
"4",28.0769230769295
"5",35.0961538461411
"6",42.1153846153527
"7",49.1346153846473
"8",56.1538461538589
"9",63.1730769230705
"10",70.1923076922822
"11",77.2115384615768
"12",84.2307692307884
"13",91.25
"14",98.2692307692116
"15",105.288461538423
"16",112.307692307718
"17",119.326923076929
"18",126.346153846141
"19",133.365384615353
"20",140.384615384647
"21",147.403846153859
"22",154.423076923071
"23",161.442307692282
"24",168.461538461577
"25",175.480769230788
"26",182.5
"27",189.519230769212
"28",196.538461538423
"29",203.557692307718
"30",210.576923076929
"31",217.596153846141
"32",224.615384615353
"33",231.634615384647
"34",238.653846153859
"35",245.673076923071
"36",252.692307692282
"37",259.711538461577
"38",266.730769230788
"39",273.75
"40",280.769230769212
"41",287.788461538423
"42",294.807692307718
"43",301.826923076929
"44",308.846153846141
"45",315.865384615353
"46",322.884615384647
"47",329.903846153859
"48",336.923076923071
"49",343.942307692282
"50",350.961538461577
"51",357.980769230788
"52",365
"53",372.019230769212
"54",379.038461538423
"55",386.057692307718
"56",393.076923076929
"57",400.096153846141
"58",407.115384615353
"59",414.134615384647
"60",421.153846153859
"61",428.173076923071
"62",435.192307692282
"63",442.211538461577
"64",449.230769230788
"65",456.25
"66",463.269230769212
"67",470.288461538423
"68",477.307692307718
"69",484.326923076929
"70",491.346153846141
"71",498.365384615353
"72",505.384615384647
"73",512.403846153859
"74",519.423076923071
"75",526.442307692282
"76",533.461538461577
"77",540.480769230788
"78",547.5
"79",554.519230769212
"80",561.538461538423
"81",568.557692307718
"82",575.576923076929
"83",582.596153846141
"84",589.615384615353
"85",596.634615384647
"86",603.653846153859
"87",610.673076923071
"88",617.692307692282
"89",624.711538461577
"90",631.730769230788
"91",638.75
"92",645.769230769212
"93",652.788461538423
"94",659.807692307718
"95",666.826923076929
"96",673.846153846141
"97",680.865384615353
"98",687.884615384647
"99",694.903846153859
"100",701.923076923071
"101",708.942307692282
"102",715.961538461577
"103",722.980769230788
"104",730
"105",737.019230769212
"106",744.038461538423
"107",751.057692307718
"108",758.076923076929
"109",765.096153846141
"110",772.115384615353
"111",779.134615384647
"112",786.153846153859
"113",793.173076923071
"114",800.192307692282
"115",807.211538461577
"116",814.230769230788
"117",821.25
"118",828.269230769212
"119",835.288461538423
"120",842.307692307718
"121",849.326923076929
"122",856.346153846141
"123",863.365384615353
"124",870.384615384647
"125",877.403846153859
"126",884.423076923071
"127",891.442307692282
"128",898.461538461577
"129",905.480769230788
"130",912.5
"131",919.519230769212
"132",926.538461538423
"133",933.557692307718
"134",940.576923076929
"135",947.596153846141
"136",954.615384615353
"137",961.634615384647
"138",968.653846153859
"139",975.673076923071
"140",982.692307692282
"141",989.711538461577
"142",996.730769230788
"143",1003.75
"144",1010.76923076921
"145",1017.78846153842
"146",1024.80769230772
"147",1031.82692307693
"148",1038.84615384614
"149",1045.86538461535
"150",1052.88461538465
"151",1059.90384615386
"152",1066.92307692307
"153",1073.94230769228
"154",1080.96153846158
"155",1087.98076923079
"156",1095
"157",1102.01923076921
"158",1109.03846153842
"159",1116.05769230772
"160",1123.07692307693
"161",1130.09615384614
"162",1137.11538461535
"163",1144.13461538465
"164",1151.15384615386
